,zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
237,94087,35,56668,2020-12-13,2021-01-02,350.0,7249.0,396.0,29.4,609.1,5.5
238,94087,64,56668,2022-08-14,2022-09-03,164.0,3343.0,189.0,13.8,280.9,5.7
239,94086,30,50477,2020-08-30,2020-09-19,58.0,2567.0,63.0,5.5,242.2,2.5
240,94086,31,50477,2020-09-20,2020-10-10,31.0,3116.0,35.0,2.9,294.0,1.1
241,94086,44,50477,2021-06-20,2021-07-10,19.0,3025.0,21.0,1.8,285.4,0.7
242,94086,36,50477,2021-01-03,2021-01-23,383.0,6948.0,427.0,36.1,655.5,6.1
243,94086,26,50477,2020-06-07,2020-06-27,24.0,1587.0,32.0,2.3,149.7,2.0
244,94086,63,50477,2022-07-24,2022-08-13,258.0,2647.0,307.0,24.3,249.7,11.6
245,94086,67,50477,2022-10-16,2022-11-05,39.0,984.0,41.0,3.7,92.8,4.2
246,94086,60,50477,2022-05-22,2022-06-11,465.0,4770.0,523.0,43.9,450.0,11.0
247,94086,25,50477,2020-05-17,2020-06-06,91.0,899.0,108.5,0.6,84.8,0.8
248,94086,57,50477,2022-03-20,2022-04-09,65.0,4362.0,76.0,6.1,411.5,1.7
249,94086,40,50477,2021-03-28,2021-04-17,52.0,5655.0,63.0,4.9,533.5,1.1
250,94086,32,50477,2020-10-11,2020-10-31,47.0,3675.0,55.0,4.4,346.7,1.5
251,94086,42,50477,2021-05-09,2021-05-29,20.0,4346.0,27.0,1.9,410.0,0.6
252,94086,62,50477,2022-07-03,2022-07-23,401.0,3150.0,444.0,37.8,297.2,14.1
253,94086,24,50477,2020-04-26,2020-05-16,14.0,572.0,27.0,1.3,54.0,4.7
254,94086,58,50477,2022-04-10,2022-04-30,168.0,4214.0,179.0,15.8,397.5,4.2
255,94086,51,50477,2021-11-14,2021-12-04,58.0,6659.0,72.0,5.5,628.2,1.1
256,94086,55,50477,2022-02-06,2022-02-26,177.0,7161.0,255.0,16.7,675.6,3.6
257,94086,22,50477,2020-03-15,2020-04-04,12.0,155.0,12.0,1.1,14.6,7.7
258,94086,21,50477,2020-02-23,2020-03-14,91.0,4352.0,108.5,0.3,0.8,37.5
259,94086,19,50477,2020-01-12,2020-02-01,0.0,4352.0,108.5,0.0,0.2,50.0
260,94086,18,50477,2019-12-22,2020-01-11,0.0,4352.0,108.5,0.0,0.1,0.0
261,94086,64,50477,2022-08-14,2022-09-03,179.0,2432.0,196.0,16.9,229.4,8.1
262,94086,47,50477,2021-08-22,2021-09-11,150.0,6882.0,179.0,14.2,649.2,2.6
263,94086,45,50477,2021-07-11,2021-07-31,75.0,3834.0,90.0,7.1,361.7,2.3
264,94086,27,50477,2020-06-28,2020-07-18,74.0,2621.0,84.0,7.0,247.3,3.2
265,94086,23,50477,2020-04-05,2020-04-25,91.0,320.0,13.0,0.8,30.2,4.1
266,94086,46,50477,2021-08-01,2021-08-21,104.0,5524.0,114.0,9.8,521.1,2.1
267,94086,37,50477,2021-01-24,2021-02-13,148.0,5832.0,174.0,14.0,550.2,3.0
268,94086,52,50477,2021-12-05,2021-12-25,125.0,6997.0,145.0,11.8,660.1,2.1
269,94086,33,50477,2020-11-01,2020-11-21,104.0,4642.0,125.0,9.8,437.9,2.7
270,94086,41,50477,2021-04-18,2021-05-08,55.0,5270.0,68.0,5.2,497.2,1.3
271,94086,39,50477,2021-03-07,2021-03-27,51.0,5728.0,68.0,4.8,540.4,1.2
272,94086,54,50477,2022-01-16,2022-02-05,944.0,10693.0,1190.0,89.1,1008.8,11.1
273,94086,38,50477,2021-02-14,2021-03-06,75.0,5461.0,88.0,7.1,515.2,1.6
274,94086,66,50477,2022-09-25,2022-10-15,91.0,2149.0,101.0,8.6,202.7,4.7
275,94086,50,50477,2021-10-24,2021-11-13,57.0,6403.0,72.0,5.4,604.0,1.1
276,94086,28,50477,2020-07-19,2020-08-08,66.0,2428.0,78.0,6.2,229.1,3.2
277,94086,43,50477,2021-05-30,2021-06-19,91.0,3457.0,108.5,0.8,326.1,0.3
278,94086,56,50477,2022-02-27,2022-03-19,75.0,4949.0,90.0,7.1,466.9,1.8
